side,input,coef_std,coef_raw,window,n
O,gs_pct,-1.6312419723071185,-4.200375223629466,2004-2004,11273
O,gs_pct2,1.6913538889525865,3.923534343006064,2004-2004,11273
O,age,10.082021322807456,2.400541036566556,2004-2004,11273
O,age2,-17.920045248668497,-0.07557432679003834,2004-2004,11273
O,age3,7.992321238805929,0.0007748858087513911,2004-2004,11273
D,poss_pct,-0.586295783815645,-3.2447763523372046,2004-2004,11282
D,poss_pct2,1.2687152209046502,7.5139817683361025,2004-2004,11282
D,gs_pct,-0.3775976637175821,-0.97194509743288,2004-2004,11282
D,gs_pct2,-0.4861875805708885,-1.127676943975219,2004-2004,11282
D,age,-8.19724947796288,-1.9515131467221654,2004-2004,11282
D,age2,15.010063442421242,0.06329204488135164,2004-2004,11282
D,age3,-7.045019818391846,-0.0006829180831681086,2004-2004,11282
O,poss_pct,0.8759859982355441,4.8418592399004625,2005-2005,11255
O,poss_pct2,0.5366802119559252,3.1717374182022966,2005-2005,11255
O,gs_pct,-1.6123900541765896,-4.152299963444562,2005-2005,11255
O,gs_pct2,1.6842145119696854,3.906535282121721,2005-2005,11255
O,age,11.30450946602341,2.688363843972317,2005-2005,11255
O,age2,-20.407968237481086,-0.08591774630907456,2005-2005,11255
O,age3,9.260298653331876,0.000895832442045988,2005-2005,11255
D,poss_pct,-0.5724858484995301,-3.1623049932879352,2005-2005,11265
D,poss_pct2,1.2205027038250795,7.211890872298935,2005-2005,11265
D,gs_pct,-0.42894804707437706,-1.1042317255370468,2005-2005,11265
D,gs_pct2,-0.4086075863019245,-0.9476226986155489,2005-2005,11265
D,age,-7.590623528934584,-1.8049157727110483,2005-2005,11265
D,age2,13.751896912520115,0.05788669155868335,2005-2005,11265
D,age3,-6.39821696824788,-0.0006188484719785921,2005-2005,11265
O,poss_pct,0.9156783772009612,5.073698713704452,2006-2006,11262
O,poss_pct2,0.4913395141012164,2.915086372061049,2006-2006,11262
O,gs_pct,-1.6599150875438868,-4.270591692048231,2006-2006,11262
O,gs_pct2,1.7230667355803404,3.995356384928104,2006-2006,11262
O,age,11.033033653799288,2.6209594197084454,2006-2006,11262
O,age2,-19.62558416233427,-0.08251983637557463,2006-2006,11262
O,age3,8.751705089306778,0.0008454074407018741,2006-2006,11262
D,poss_pct,-0.604182465066189,-3.3457062642051327,2006-2006,11271
D,poss_pct2,1.2664088568621654,7.512338137248575,2006-2006,11271
D,gs_pct,-0.3307939027895492,-0.8507484191624375,2006-2006,11271
D,gs_pct2,-0.5190330906252943,-1.2033322310635772,2006-2006,11271
D,age,-9.079034631877882,-2.1565194989128162,2006-2006,11271
D,age2,16.635704021005115,0.06993808718579524,2006-2006,11271
D,age3,-7.798136423571136,-0.0007531656834314525,2006-2006,11271
O,poss_pct,0.8383246023579456,4.6225817703529115,2007-2007,11261
O,poss_pct2,0.5812146858679863,3.422078932993921,2007-2007,11261
O,gs_pct,-1.6021160560923038,-4.121475224304827,2007-2007,11261
O,gs_pct2,1.6729283646908972,3.878889234582336,2007-2007,11261
O,age,12.00084906002623,2.8531131825565956,2007-2007,11261
O,age2,-21.742195838403656,-0.09150054915608542,2007-2007,11261
O,age3,9.897204878258483,0.0009570279547774361,2007-2007,11261
D,poss_pct,-0.6412458518510453,-3.533671312144147,2007-2007,11271
D,poss_pct2,1.314541465456251,7.738555938658133,2007-2007,11271
D,gs_pct,-0.37720523521218063,-0.9700012753528903,2007-2007,11271
D,gs_pct2,-0.4767639243112317,-1.1052669009440221,2007-2007,11271
D,age,-8.974728430661786,-2.1333944486025516,2007-2007,11271
D,age2,16.407821447822077,0.06904045823753642,2007-2007,11271
