target,off,dfn,mult,mult_d,lam,lam_d,n_train,season,n,sd_prior_o,sd_resid_o,sd_rating_o,share_o,corr_o,corr_pr_o,sd_prior_d,sd_resid_d,sd_rating_d,share_d,corr_d,corr_pr_d
ship,xpts_ft,x3def,1.0,0.0625,11452.3857346,715.7741084125,3,2014,390,1.4292895356984179,0.5101439372403375,1.6503236147431866,0.09555363901822417,0.9550428905262621,0.2965941796360722,0.855469437770192,1.8567582872991821,2.273462157694782,0.6670145117263011,0.6095851902515887,0.28898469339434574
ship,xpts_ft,x3def,1.0,0.0625,11452.3857346,715.7741084125,3,2019,414,1.4097070199117694,0.4813311535766975,1.580347075201226,0.09276475235476538,0.9505649327612292,0.1825549867876014,0.8205862755210838,1.6921310875395088,2.0612679944725625,0.6739056363425294,0.5610383820603855,0.20908171847611137
ship,xpts_ft,x3def,1.0,0.0625,11452.3857346,715.7741084125,3,2024,425,1.5260526732855422,0.5334966467100424,1.7026099683880795,0.09818226449039832,0.9508414433860263,0.17096852070833246,0.7629057241998263,1.842441789518406,2.2647424156874765,0.6618352939596794,0.637279768910731,0.3721215393652967
ship,xpts_ft,x3def,1.0,0.125,11452.3857346,1431.548216825,3,2014,390,1.4292895356984179,0.5097133308550843,1.6503137031034092,0.0953935415752498,0.9551320310595173,0.29726748885623167,0.855469437770192,1.425913899420827,1.8607890166653327,0.5872085046406019,0.6661689432689953,0.267102930783378
ship,xpts_ft,x3def,1.0,0.125,11452.3857346,1431.548216825,3,2019,414,1.4097070199117694,0.48184882966042736,1.580414944427989,0.09295641400517331,0.9504069240700329,0.18169962113647709,0.8205862755210838,1.2897865771151096,1.689424394742945,0.58285185615266,0.6388169020138662,0.20340493380927213
ship,xpts_ft,x3def,1.0,0.125,11452.3857346,1431.548216825,3,2024,425,1.5260526732855422,0.5349468488616823,1.7037119323167202,0.09858910795044983,0.9505508690922627,0.17210724420344262,0.7629057241998263,1.4136504983816405,1.8495461915549114,0.5841894868427449,0.6875360050463926,0.35597066726784227
ship,xpts_ft,x3def,1.0,0.25,11452.3857346,2863.09643365,3,2014,390,1.4292895356984179,0.5091551788236156,1.650561076010614,0.09515620922258615,0.9552719370552005,0.29874785878074905,0.855469437770192,1.039126242143333,1.5076122032669383,0.47506970551134203,0.7432350245225601,0.24367371556773368
ship,xpts_ft,x3def,1.0,0.25,11452.3857346,2863.09643365,3,2019,414,1.4097070199117694,0.4825582929079959,1.580845684730765,0.09317955045708627,0.9502447839692664,0.18152015710280112,0.8205862755210838,0.9273398239108076,1.3754904316540155,0.4545301266992831,0.7383827120521422,0.2000253640952988
ship,xpts_ft,x3def,1.0,0.25,11452.3857346,2863.09643365,3,2024,425,1.5260526732855422,0.5364918190283453,1.7044247761072315,0.09907647128424549,0.9502143539918034,0.17242749700066845,0.7629057241998263,1.0173148667235106,1.4784744265682601,0.4734598418075027,0.7575725396900614,0.33835153530932977
ship,xpts_ft,x3def,1.0,0.5,11452.3857346,5726.1928673,3,2014,390,1.4292895356984179,0.5082527321790868,1.6508644862090536,0.09478434076723864,0.9554831517497246,0.300906689654925,0.855469437770192,0.7289435319457868,1.2465981405898061,0.3419281243330522,0.8282379941031023,0.2199158806951621
ship,xpts_ft,x3def,1.0,0.5,11452.3857346,5726.1928673,3,2019,414,1.4097070199117694,0.4831386569823304,1.5813256498429271,0.09334712455063249,0.9501091634667339,0.18168731334790983,0.8205862755210838,0.641572337054337,1.1514810769921946,0.3104399818616663,0.8373162060515725,0.19720711424229725
ship,xpts_ft,x3def,1.0,0.5,11452.3857346,5726.1928673,3,2024,425,1.5260526732855422,0.5377802761886602,1.70451047234925,0.09954292362107454,0.9498871621828543,0.17176037748547326,0.7629057241998263,0.6956509042953014,1.1938956333665192,0.3395079751631843,0.8365592015336906,0.31707920869410455
