season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
2008,off,ft,2460,59573.0,0.7538314337031877,0.0007048505518737491,0.0006973151633123128,0.0006663695735996319,0.0006765758501164326,-0.00010401397163985093,250.3554408647329,264.81276704288024,260.8180156411658,260.8180156411658,0.09195419638247157
2008,def,fg3,2460,44503.0,0.36204300833651665,0.0001077813835860832,7.120607912668603e-05,0.0001354924510405198,6.81102932943338e-05,-0.0001563706170518665,2022.7931820743602,1609.0892606797001,3200.9764945558945,3200.9764945558945,0.006240408536025921
2008,def,fg2,2460,155848.0,0.4844335506390842,0.00022595204392201318,0.00020846450265090763,0.000186049589127167,0.0002089261779482421,-5.202211939451525e-05,1085.549059121686,1318.3690963085667,1174.0129030021683,1174.0129030021683,0.052019216592668074
2008,def,ft,2460,59573.0,0.7538314337031877,1.5752902614118916e-05,1.5584490872596204e-05,1.4159067571660725e-05,3.327133512308726e-05,-0.00011274120809137166,11201.946395576864,12462.908999127354,5303.75982825088,5303.75982825088,0.004990481899283797
2009,off,fg3,2460,44565.0,0.36679008190283857,0.00014819155904550885,0.00011298900690640234,-3.33418724604566e-05,0.00010085354193965666,-0.00014955497987647994,1483.3305126058149,1000000.0,2179.5670931850054,2179.5670931850054,0.0090829073221852
2009,off,fg2,2460,154419.0,0.4852705949397419,0.00020344520294469156,0.00018633404700231057,0.00017851987282568567,0.00018292518727629754,-4.7910776340976125e-05,1207.6759861241244,1376.2943150220635,1343.149567026787,1343.149567026787,0.04538383782241141
2009,off,ft,2460,59070.0,0.7686812256644658,0.0005775286272433775,0.0005743620100044953,0.0005765306055751851,0.0005561305989978682,-9.717846638736655e-05,293.2387287545854,293.7463489961133,304.52156521759383,304.52156521759383,0.07940889028861925
2009,def,fg3,2460,44565.0,0.36679008190283857,0.00015130265187145812,0.00012072605584309464,0.0001083756858251893,0.00010722145689205511,-0.00014858627750169052,1452.8301951348417,2028.2876142292275,2050.121940276653,2050.121940276653,0.009650392212047562
2009,def,fg2,2460,154419.0,0.4852705949397419,0.0002465726329731191,0.0002301419612143955,0.00022224408644532298,0.0002254684480541194,-4.725252273068387e-05,996.4442652288922,1105.5227161191515,1089.7129430255286,1089.7129430255286,0.05534541641780472
2009,def,ft,2460,59070.0,0.7686812256644658,7.165957107461e-05,7.058292312094132e-05,9.510888714198197e-05,7.981877912217162e-05,-0.00010332412096183201,2363.309714705134,1780.6302393109852,2121.7282741573113,2121.7282741573113,0.012298373865760763
2010,off,fg3,2460,44604.0,0.35460945206707917,0.0002508961161902478,0.0002080154025272029,0.0001947442982926535,0.00020435690909163993,-0.00016218810449069562,858.1848050840774,1105.6304931994118,1053.6234645853147,1053.6234645853147,0.018567597409517557
2010,off,fg2,2460,156289.0,0.49180684501148514,0.000271301536449383,0.00025433224915963527,0.00023419707408404362,0.00025261437815305245,-5.036567492581366e-05,905.152461934652,1048.5581624119186,972.1111499640324,972.1111499640324,0.06221974349620252
2010,off,ft,2460,58645.0,0.7573876715832552,0.0004749096792564592,0.00046976627701910204,0.000478088329454905,0.00045656312240169506,-0.00010197819248108406,368.2589345392865,365.81050343726116,383.05707120056405,383.05707120056405,0.06323184361816436
2010,def,fg3,2460,44604.0,0.35460945206707917,5.190821570091901e-05,1.2196859962297912e-05,-5.0908568539398646e-05,2.157790752310128e-05,-0.00016449805454640652,4147.999149299748,1000000.0,9978.503909082177,9978.503909082177,0.0019965520972344422
2010,def,fg2,2460,156289.0,0.49180684501148514,0.00026415939510477,0.00024574742637128554,0.00023267137182473113,0.00024426352214510275,-5.0468656109270604e-05,929.6252875897749,1055.4339011195475,1005.3455853221275,1005.3455853221275,0.0602886032319856
2010,def,ft,2460,58645.0,0.7573876715832552,-6.802694143800372e-06,-9.894314396628396e-06,-7.613417105315974e-06,4.421943685297754e-06,-0.00010862308138657624,1000000.0,1000000.0,39550.42056886838,39550.42056886838,0.0006564236355187104
2011,off,fg3,2460,44285.0,0.35847352376651237,0.00024506909753085177,0.00021244090560030313,0.0002608141313758322,0.00019776124875080266,-0.00015116508866294768,887.7515056599059,834.1590203570072,1100.1167402511405,1100.1167402511405,0.017685766452795255
2011,off,fg2,2460,155390.0,0.4871549005727524,0.00023839514780622562,0.00022055809597389152,0.0002179138312419912,0.0002170403739102073,-4.810638821459697e-05,1030.5270511822218,1127.3843761302262,1131.9214220785389,1131.9214220785389,0.053656701384838856
2011,off,ft,2460,57935.0,0.7614913264865798,0.0006759945385988626,0.0006716001674633421,0.000559864939037854,0.0006511376946015754,-0.00010551384714445889,254.77929720907397,307.62671753900554,264.5053648242188,264.5053648242188,0.08846185705688618
